download_day,total_downloads
2016-01-22,14
2016-01-23,6
2016-01-24,4
2016-01-25,4
2016-01-26,22
2016-01-27,25
2016-01-28,6
2016-01-29,13
2016-01-30,4
2016-01-31,1
2016-02-01,15
2016-02-02,11
2016-02-03,6
2016-02-04,16
2016-02-05,14
2016-02-06,11
2016-02-07,8
2016-02-08,76
2016-02-09,62
2016-02-10,20
2016-02-11,4
2016-02-12,6
2016-02-13,7
2016-02-14,3
2016-02-15,14
2016-02-16,95
2016-02-17,58
2016-02-18,46
2016-02-19,35
2016-02-20,29
2016-02-21,24
2016-02-22,22
2016-02-23,53
2016-02-24,19
2016-02-25,38
2016-02-26,34
2016-02-27,28
2016-02-28,9
2016-02-29,31
2016-03-01,31
2016-03-02,26
2016-03-03,22
2016-03-04,23
2016-03-05,26
2016-05-22,18
2016-05-23,47
2016-05-24,32
2016-05-25,50
2016-05-26,46
2016-05-27,42
2016-05-28,9
2016-05-29,32
2016-05-30,20
2016-05-31,20
2016-06-01,72
2016-06-02,71
2016-06-03,65
2016-06-04,52
2016-06-05,18
2016-06-06,62
2016-06-07,60
2016-06-08,30
2016-06-09,32
2016-06-10,17
2016-06-11,11
2016-06-12,30
2016-06-13,74
2016-06-14,31
2016-06-15,17
2016-06-16,40
2016-06-17,50
2016-06-18,17
2016-06-19,16
2016-06-20,21
2016-06-21,29
2016-06-22,39
2016-06-23,92
2016-06-24,18
2016-06-25,8
2016-06-26,9
2016-06-27,15
2016-06-28,15
2016-06-29,49
2016-06-30,91
2016-07-01,26
2016-07-02,35
2016-07-03,9
2016-07-04,150
2016-07-05,108
2016-07-06,75
2016-07-07,43
2016-07-08,48
2016-07-09,56
2016-07-10,22
2016-07-11,52
2016-07-12,50
2016-07-13,44
2016-07-14,63
2016-07-15,33
2016-07-16,34
2016-07-17,21
2016-07-18,34
2016-07-19,93
2016-07-20,53
2016-07-21,80
2016-07-22,68
2016-07-23,13
2016-07-24,15
2016-07-25,35
2016-07-26,65
2016-07-27,79
2016-07-28,73
2016-07-29,75
2016-07-30,23
2016-07-31,52
2016-08-01,41
2016-08-02,92
2016-08-03,63
2016-08-04,58
2016-08-05,105
2016-08-06,40
2016-08-07,30
2016-08-08,60
2016-08-09,68
2016-08-10,66
2016-08-11,30
2016-08-12,80
2016-08-13,30
2016-08-14,12
2016-08-15,39
2016-08-16,54
2016-08-17,90
2016-08-18,53
2016-08-19,65
2016-08-20,68
2016-08-21,12
2016-08-22,74
2016-08-23,55
2016-08-24,21
2016-08-25,39
2016-08-26,50
2016-08-27,24
2016-08-28,31
2016-08-29,23
2016-08-30,29
2016-08-31,81
2016-09-01,35
2016-09-02,49
2016-09-03,35
2016-09-04,49
2016-09-05,43
2016-09-06,68
2016-09-07,78
2016-09-08,65
2016-09-09,47
2016-09-10,42
2016-09-11,21
2016-09-12,48
2016-09-13,49
2016-09-14,33
2016-09-15,46
2016-09-16,87
2016-09-17,51
2016-09-18,43
2016-09-19,40
2016-09-20,99
2016-09-21,61
2016-09-22,37
2016-09-23,65
2016-09-24,77
2016-09-25,46
2016-09-26,171
2016-09-27,229
2016-09-28,134
2016-09-29,73
2016-09-30,74
2016-10-01,62
2016-10-02,46
2016-10-03,59
2016-10-04,43
2016-10-05,65
2016-10-06,101
2016-10-07,84
2016-10-08,39
2016-10-09,40
2016-10-10,74
2016-10-11,65
2016-10-12,114
2016-10-13,62
2016-10-14,28
2016-10-15,5
2016-10-16,4
2016-10-17,21
2016-10-18,49
2016-10-19,88
2016-10-20,60
2016-10-21,20
2016-10-22,4
2016-10-23,26
2016-10-24,37
2016-10-25,47
2016-10-26,89
2016-10-27,65
2016-10-28,50
2016-10-29,22
2016-10-30,23
2016-10-31,35
2016-11-01,58
2016-11-02,51
2016-11-03,51
2016-11-04,52
2016-11-05,34
2016-11-06,19
2016-11-07,49
2016-11-08,72
2016-11-09,66
2016-11-10,46
2016-11-11,50
2016-11-12,25
2016-11-13,13
2016-11-14,41
2016-11-15,40
2016-11-16,81
2016-11-17,40
2016-11-18,38
2016-11-19,46
2016-11-20,32
2016-11-21,39
2016-11-22,47
2016-11-23,58
2016-11-24,85
2016-11-25,11
2016-11-26,22
2016-11-27,18
2016-11-28,38
2016-11-29,71
2016-11-30,28
2016-12-01,95
2016-12-02,26
2016-12-03,33
2016-12-04,15
2016-12-05,33
2016-12-06,76
2016-12-07,56
2016-12-08,85
2016-12-09,45
2016-12-10,32
2016-12-11,25
2016-12-12,61
2016-12-13,49
2016-12-14,44
2016-12-15,58
2016-12-16,27
2016-12-17,12
2016-12-18,14
2016-12-19,61
2016-12-20,23
2016-12-21,221
2016-12-22,190
2016-12-23,56
2016-12-24,20
2016-12-25,12
2016-12-26,19
2016-12-27,21
2016-12-28,34
2016-12-29,21
2016-12-30,33
2016-12-31,20
2017-01-01,17
2017-01-02,6
2017-01-03,35
2017-01-04,19
2017-01-05,60
2017-01-06,38
2017-01-07,37
2017-01-08,3
2017-01-09,55
2017-01-10,53
2017-01-11,33
2017-01-12,46
2017-01-13,67
2017-01-14,43
2017-01-15,19
2017-01-16,31
2017-01-17,52
2017-01-18,72
2017-01-19,40
2017-01-20,75
2017-01-21,9
2017-01-22,19
2017-01-23,35
2017-01-24,60
2017-01-25,47
2017-01-26,70
2017-01-27,64
2017-01-28,29
2017-01-29,19
2017-01-30,40
2017-01-31,21
2017-02-01,94
2017-02-02,59
2017-02-03,29
2017-02-04,35
2017-02-05,7
2017-02-06,79
2017-02-07,45
2017-02-08,49
2017-02-09,89
2017-02-10,56
2017-02-11,74
2017-02-12,42
2017-02-13,38
2017-02-14,83
2017-02-15,16
2017-02-16,72
2017-02-17,49
2017-02-18,49
2017-02-19,39
2017-02-20,39
2017-02-21,37
2017-02-22,70
2017-02-23,26
2017-02-24,44
2017-02-25,17
2017-02-26,49
2017-02-27,57
2017-02-28,47
2017-03-01,55
2017-03-02,70
2017-03-03,56
2017-03-04,41
2017-03-05,8
2017-03-06,31
2017-03-07,46
2017-03-08,46
2017-03-09,68
2017-03-10,50
2017-03-11,16
2017-03-12,17
2017-03-13,32
2017-03-14,80
2017-03-15,51
2017-03-16,63
2017-03-17,76
2017-03-18,30
2017-03-19,37
2017-03-20,13
2017-03-21,75
2017-03-22,79
2017-03-23,15
2017-03-24,49
2017-03-25,54
2017-03-26,49
2017-03-27,33
2017-03-28,87
2017-03-29,56
2017-03-30,61
2017-03-31,57
2017-04-01,25
2017-04-02,6
2017-04-03,40
2017-04-04,48
2017-04-05,85
2017-04-06,49
2017-04-07,68
2017-04-08,23
2017-04-09,26
2017-04-10,57
2017-04-11,34
2017-04-12,72
2017-04-13,29
2017-04-14,63
2017-04-15,50
2017-04-16,47
2017-04-17,17
2017-04-18,70
2017-04-19,75
2017-04-20,33
2017-04-21,42
2017-04-22,18
2017-04-23,11
2017-04-24,53
2017-04-25,13
2017-04-26,71
2017-04-27,27
2017-04-28,50
2017-04-29,17
2017-04-30,14
2017-05-01,19
2017-05-02,38
2017-05-03,78
2017-05-04,49
2017-05-05,41
2017-05-06,13
2017-05-07,9
2017-05-08,27
2017-05-09,64
2017-05-10,30
2017-05-11,38
2017-05-12,44
2017-05-13,58
2017-05-14,21
2017-05-15,20
2017-05-16,48
2017-05-17,118
2017-05-18,102
2017-05-19,74
2017-05-20,28
2017-05-21,16
2017-05-22,40
2017-05-23,36
2017-05-24,54
2017-05-25,53
2017-05-26,12
2017-05-27,8
2017-05-28,10
2017-05-29,34
2017-05-30,50
2017-05-31,45
2017-06-01,34
2017-06-02,41
2017-06-03,11
2017-06-04,26
2017-06-05,31
2017-06-06,57
2017-06-07,49
2017-06-08,38
2017-06-09,40
2017-06-10,53
2017-06-11,37
2017-06-12,25
2017-06-13,60
2017-06-14,67
2017-06-15,41
2017-06-16,70
2017-06-17,49
2017-06-18,30
2017-06-19,60
2017-06-20,62
2017-06-21,83
2017-06-22,65
2017-06-23,22
2017-06-24,61
2017-06-25,9
2017-06-26,82
2017-06-27,53
2017-06-28,100
2017-06-29,65
2017-06-30,26
2017-07-01,12
2017-07-02,20
2017-07-03,23
2017-07-04,50
2017-07-05,54
2017-07-06,51
2017-07-07,97
2017-07-08,63
2017-07-09,44
2017-07-10,37
2017-07-11,55
2017-07-12,26
2017-07-13,65
2017-07-14,61
2017-07-15,21
2017-07-16,34
2017-07-17,48
2017-07-18,214
2017-07-19,129
2017-07-20,67
2017-07-21,99
2017-07-22,28
2017-07-23,40
2017-07-24,39
2017-07-25,77
2017-07-26,70
2017-07-27,66
2017-07-28,44
2017-07-29,27
2017-07-30,31
2017-07-31,66
2017-08-01,39
2017-08-02,31
2017-08-03,75
2017-08-04,26
2017-08-05,19
2017-08-06,24
2017-08-07,34
2017-08-08,43
2017-08-09,37
2017-08-10,73
2017-08-11,67
2017-08-12,63
2017-08-13,7
2017-08-14,26
2017-08-15,42
2017-08-16,184
2017-08-17,149
2017-08-18,95
2017-08-19,70
2017-08-20,97
2017-08-21,49
2017-08-22,63
2017-08-23,44
2017-08-24,60
2017-08-25,58
2017-08-26,18
2017-08-27,6
2017-08-28,57
2017-08-29,98
2017-08-30,110
2017-08-31,76
2017-09-01,49
2017-09-02,61
2017-09-03,9
2017-09-04,110
2017-09-05,31
2017-09-06,38
2017-09-07,49
2017-09-08,37
2017-09-09,75
2017-09-10,21
2017-09-11,36
2017-09-12,30
2017-09-13,67
2017-09-14,66
2017-09-15,66
2017-09-16,55
2017-09-17,60
2017-09-18,73
2017-09-19,55
2017-09-20,67
2017-09-21,75
2017-09-22,69
2017-09-23,26
2017-09-24,28
2017-09-25,51
2017-09-26,54
2017-09-27,35
2017-09-28,68
2017-09-29,49
2017-09-30,67
2017-10-01,32
2017-10-02,58
2017-10-03,47
2017-10-04,74
2017-10-05,50
2017-10-06,69
2017-10-07,50
2017-10-08,7
2017-10-09,50
2017-10-10,26
2017-10-11,32
2017-10-12,29
2017-10-13,29
2017-10-14,52
2017-10-15,37
2017-10-16,53
2017-10-17,72
2017-10-18,49
2017-10-19,54
2017-10-20,61
2017-10-21,78
2017-10-22,49
2017-10-23,49
2017-10-24,52
2017-10-25,62
2017-10-26,65
2017-10-27,74
2017-10-28,53
2017-10-29,11
2017-10-30,60
2017-10-31,50
2017-11-01,46
2017-11-02,56
2017-11-03,168
2017-11-04,138
2017-11-05,75
2017-11-06,49
2017-11-07,181
2017-11-08,65
2017-11-09,106
2017-11-10,30
2017-11-11,65
2017-11-12,55
2017-11-13,62
2017-11-14,71
2017-11-15,64
2017-11-16,55
2017-11-17,48
2017-11-18,45
2017-11-19,67
2017-11-20,46
2017-11-21,43
2017-11-22,37
2017-11-23,84
2017-11-24,34
2017-11-25,23
2017-11-26,74
2017-11-27,16
2017-11-28,55
2017-11-29,43
2017-11-30,12
2017-12-01,16
2017-12-02,24
2017-12-03,39
2017-12-04,31
2017-12-05,31
2017-12-06,29
2017-12-07,58
2017-12-08,84
2017-12-09,36
2017-12-10,60
2017-12-11,63
2017-12-12,40
2017-12-13,22
2017-12-14,34
2017-12-15,97
2017-12-16,32
2017-12-17,60
2017-12-18,55
2017-12-19,41
2017-12-20,53
2017-12-21,93
2017-12-22,51
2017-12-23,51
2017-12-24,87
2017-12-25,65
2017-12-26,51
2017-12-27,76
2017-12-28,50
2017-12-29,94
2017-12-30,56
2017-12-31,33
2018-01-01,9
2018-01-02,31
2018-01-03,31
2018-01-04,30
2018-01-05,82
2018-01-06,81
2018-01-07,7
2018-01-08,98
2018-01-09,41
2018-01-10,41
2018-01-11,54
2018-01-12,152
2018-01-13,91
2018-01-14,28
2018-01-15,53
2018-01-16,38
2018-01-17,62
2018-01-18,53
2018-01-19,55
2018-01-20,65
2018-01-21,61
2018-01-22,36
2018-01-23,60
2018-01-24,42
2018-01-25,90
2018-01-26,84
2018-01-27,34
2018-01-28,36
2018-01-29,106
2018-01-30,41
2018-01-31,16
2018-02-01,56
2018-02-02,34
2018-02-03,25
2018-02-04,34
2018-02-05,36
2018-02-06,36
2018-02-07,56
2018-02-08,64
2018-02-09,39
2018-02-10,59
2018-02-11,62
2018-02-12,47
2018-02-13,41
2018-02-14,43
2018-02-15,68
2018-02-16,29
2018-02-17,43
2018-02-18,23
2018-02-19,29
2018-02-20,26
2018-02-21,51
2018-02-22,30
2018-02-23,22
2018-02-24,55
2018-02-25,40
2018-02-26,41
2018-02-27,40
2018-02-28,69
2018-03-01,48
2018-03-02,26
2018-03-03,8
2018-03-04,14
2018-03-05,45
2018-03-06,77
2018-03-07,50
2018-03-08,25
2018-03-09,39
2018-03-10,64
2018-03-11,18
2018-03-12,44
2018-03-13,44
2018-03-14,27
2018-03-15,23
2018-03-16,69
2018-03-17,34
2018-03-18,46
2018-03-19,64
2018-03-20,48
2018-03-21,21
2018-03-22,23
2018-03-23,19
2018-03-24,15
2018-03-25,33
2018-03-26,36
2018-03-27,18
2018-03-28,34
2018-03-29,30
2018-03-30,46
2018-03-31,44
2018-04-01,24
2018-04-02,52
2018-04-03,20
2018-04-04,13
2018-04-05,50
2018-04-06,82
2018-04-07,9
2018-04-08,59
2018-04-09,48
2018-04-10,43
2018-04-11,29
2018-04-12,24
2018-04-13,51
2018-04-14,41
2018-04-15,19
2018-04-16,27
2018-04-17,10
2018-04-18,8
2018-04-19,33
2018-04-20,8
2018-04-21,70
2018-04-22,56
2018-04-23,30
2018-04-24,38
2018-04-25,15
2018-04-26,28
2018-04-27,51
2018-04-28,108
2018-04-29,50
2018-04-30,35
2018-05-01,20
2018-05-02,20
2018-05-03,23
2018-05-04,24
2018-05-05,47
2018-05-06,40
2018-05-07,17
2018-05-08,8
2018-05-09,26
2018-05-10,34
2018-05-11,56
2018-05-12,49
2018-05-13,47
2018-05-14,26
2018-05-15,19
2018-05-16,5
2018-05-17,34
2018-05-18,130
2018-05-19,181
2018-05-20,3
2018-05-21,23
2018-05-22,35
2018-05-23,16
2018-05-24,51
2018-05-25,54
2018-05-26,79
2018-05-27,25
2018-05-28,34
2018-05-29,25
2018-05-30,18
2018-05-31,50
2018-06-01,49
2018-06-02,50
2018-06-03,40
2018-06-04,41
2018-06-05,32
2018-06-06,18
2018-06-07,22
2018-06-08,76
2018-06-09,37
2018-06-10,17
2018-06-11,52
2018-06-12,49
2018-06-13,75
2018-06-14,27
2018-06-15,21
2018-06-16,29
2018-06-17,13
2018-06-18,18
2018-06-19,38
2018-06-20,27
2018-06-21,29
2018-06-22,34
2018-06-23,22
2018-06-24,7
2018-06-25,17
2018-06-26,36
2018-06-27,20
2018-06-28,22
2018-06-29,96
2018-06-30,33
2018-07-01,13
2018-07-02,33
2018-07-03,51
2018-07-04,22
2018-07-05,65
2018-07-06,14
2018-07-07,49
2018-07-08,21
2018-07-09,19
2018-07-10,9
2018-07-11,12
2018-07-12,5
2018-07-13,2
2018-07-14,131
2018-07-15,43
2018-07-16,11
2018-07-17,9
2018-07-18,14
2018-07-19,5
2018-07-20,4
2018-07-21,18
2018-07-22,12
2018-07-23,3
2018-07-25,5
2018-07-26,1
2018-07-27,116
2018-07-28,48
2018-07-29,61
2018-07-30,214
2018-07-31,189
2018-08-01,199
2018-08-02,169
2018-08-03,195
2018-08-04,196
2018-08-05,73
2018-08-06,239
2018-08-07,248
2018-08-08,205
2018-08-09,195
2018-08-10,195
2018-08-11,70
2018-08-12,80
2018-08-13,111
2018-08-14,212
2018-08-15,80
2018-08-16,116
2018-08-17,316
2018-08-18,5
2018-08-19,83
2018-08-20,83
2018-08-21,91
2018-08-22,145
2018-08-23,148
2018-08-24,133
2018-08-25,52
2018-08-26,13
2018-08-27,97
2018-08-28,128
2018-08-29,172
2018-08-30,176
2018-08-31,139
2018-09-01,34
2018-09-02,5
2018-09-03,97
2018-09-04,164
2018-09-05,125
2018-09-06,207
2018-09-07,122
2018-09-08,43
2018-09-09,82
2018-09-10,170
2018-09-11,163
2018-09-12,173
2018-09-13,274
2018-09-14,188
2018-09-15,154
2018-09-16,39
2018-09-17,212
2018-09-18,212
2018-09-19,124
2018-09-20,103
2018-09-21,109
2018-09-22,48
2018-09-23,52
2018-09-24,126
2018-09-25,186
2018-09-26,128
2018-09-27,94
2018-09-28,172
2018-09-29,81
2018-09-30,34
2018-10-01,117
2018-10-02,166
2018-10-03,142
2018-10-04,199
2018-10-05,148
2018-10-06,69
2018-10-07,88
2018-10-08,105
2018-10-09,134
2018-10-10,94
2018-10-11,171
2018-10-12,154
2018-10-13,42
2018-10-14,61
2018-10-15,211
2018-10-16,192
2018-10-17,427
2018-10-18,219
2018-10-19,159
2018-10-20,50
2018-10-21,98
2018-10-22,164
2018-10-23,174
2018-10-24,188
2018-10-25,85
2018-10-26,188
2018-10-27,70
2018-10-28,88
2018-10-29,169
2018-10-30,204
2018-10-31,225
2018-11-01,191
2018-11-02,130
2018-11-03,52
2018-11-04,37
2018-11-05,137
2018-11-06,142
2018-11-07,181
2018-11-08,175
2018-11-09,88
2018-11-10,88
2018-11-11,29
2018-11-12,150
2018-11-13,81
2018-11-14,133
2018-11-15,118
2018-11-16,118
2018-11-17,55
2018-11-18,30
2018-11-19,147
2018-11-20,109
2018-11-21,165
2018-11-22,103
2018-11-23,65
2018-11-24,17
2018-11-25,70
2018-11-26,183
2018-11-27,190
2018-11-28,116
2018-11-29,160
2018-11-30,185
2018-12-01,51
2018-12-02,90
2018-12-03,125
2018-12-04,184
2018-12-05,122
2018-12-06,232
2018-12-07,142
2018-12-08,38
2018-12-09,47
2018-12-10,226
2018-12-11,144
2018-12-12,185
2018-12-13,120
2018-12-14,126
2018-12-15,18
2018-12-16,80
2018-12-17,226
2018-12-18,121
2018-12-19,107
2018-12-20,142
2018-12-21,224
2018-12-22,150
2018-12-23,88
2018-12-24,76
2018-12-25,30
2018-12-26,50
2018-12-27,29
2018-12-28,47
2018-12-29,13
2018-12-30,13
2018-12-31,38
2019-01-01,37
2019-01-02,70
2019-01-03,119
2019-01-04,90
2019-01-05,97
2019-01-06,40
2019-01-07,99
2019-01-08,134
2019-01-09,137
2019-01-10,213
2019-01-11,149
2019-01-12,27
2019-01-13,18
2019-01-14,113
2019-01-15,111
2019-01-16,230
2019-01-17,108
2019-01-18,107
2019-01-19,108
2019-01-20,34
2019-01-21,108
2019-01-22,199
2019-01-23,240
2019-01-24,335
2019-01-25,136
2019-01-26,57
2019-01-27,76
2019-01-28,116
2019-01-29,297
2019-01-30,240
2019-01-31,167
2019-02-01,146
2019-02-02,65
2019-02-03,79
2019-02-04,147
2019-02-05,240
2019-02-06,162
2019-02-07,149
2019-02-08,179
2019-02-09,98
2019-02-10,59
2019-02-11,181
2019-02-12,198
2019-02-13,149
2019-02-14,145
2019-02-15,205
2019-02-16,82
2019-02-17,30
2019-02-18,152
2019-02-19,132
2019-02-20,105
2019-02-21,138
2019-02-22,223
2019-02-23,103
2019-02-24,29
2019-02-25,228
2019-02-26,229
2019-02-27,274
2019-02-28,198
2019-03-01,189
2019-03-02,21
2019-03-03,89
2019-03-04,106
2019-03-05,181
2019-03-06,225
2019-03-07,258
2019-03-08,285
2019-03-09,71
2019-03-10,48
2019-03-11,229
2019-03-12,160
2019-03-13,182
2019-03-14,203
2019-03-15,159
2019-03-16,37
2019-03-17,54
2019-03-18,254
2019-03-19,237
2019-03-20,236
2019-03-21,153
2019-03-22,209
2019-03-23,59
2019-03-24,56
2019-03-25,197
2019-03-26,185
2019-03-27,179
2019-03-28,190
2019-03-29,125
2019-03-30,63
2019-03-31,61
2019-04-01,249
2019-04-02,144
2019-04-03,183
2019-04-04,193
2019-04-05,190
2019-04-06,34
2019-04-07,73
2019-04-08,118
2019-04-09,197
2019-04-10,170
2019-04-11,98
2019-04-12,132
2019-04-13,35
2019-04-14,84
2019-04-15,175
2019-04-16,136
2019-04-17,111
2019-04-18,83
2019-04-19,87
2019-04-20,28
2019-04-21,48
2019-04-22,37
2019-04-23,103
2019-04-24,105
2019-04-25,7
2019-04-28,33
2019-04-29,104
2019-04-30,89
2019-05-01,72
2019-05-02,113
2019-05-03,142
2019-05-04,66
2019-05-05,98
2019-05-06,72
2019-05-07,81
2019-05-08,188
2019-05-09,164
2019-05-10,189
2019-05-11,71
2019-05-12,24
2019-05-13,134
2019-05-14,103
2019-05-15,134
2019-05-16,108
2019-05-17,159
2019-05-18,57
2019-05-19,41
2019-05-20,165
2019-05-21,188
2019-05-22,144
2019-05-23,203
2019-05-24,142
2019-05-25,46
2019-05-26,7
2019-05-27,107
2019-05-28,134
2019-05-29,118
2019-05-30,154
2019-05-31,176
2019-06-01,120
2019-06-02,85
2019-06-03,122
2019-06-04,204
2019-06-05,104
2019-06-06,112
2019-06-07,81
2019-06-08,12
2019-06-09,9
2019-06-10,168
2019-06-11,137
2019-06-12,136
2019-06-13,164
2019-06-14,220
2019-06-15,96
2019-06-16,33
2019-06-17,102
2019-06-18,91
2019-06-19,139
2019-06-20,110
2019-06-21,112
2019-06-22,49
2019-06-23,59
2019-06-24,93
2019-06-25,112
2019-06-26,101
2019-06-27,90
2019-06-28,53
2019-06-29,66
2019-06-30,27
2019-07-01,174
2019-07-02,98
2019-07-03,94
2019-07-04,119
2019-07-05,30
2019-07-06,39
2019-07-07,34
2019-07-08,75
2019-07-09,90
2019-07-10,103
2019-07-11,83
2019-07-12,91
2019-07-13,29
2019-07-14,58
2019-07-15,90
2019-07-16,124
2019-07-17,149
2019-07-18,88
2019-07-19,120
2019-07-20,86
2019-07-21,17
2019-07-22,61
2019-07-23,119
2019-07-24,134
2019-07-25,90
2019-07-26,73
2019-07-27,16
2019-07-28,15
2019-07-29,55
2019-07-30,88
2019-07-31,153
2019-08-01,127
2019-08-02,125
2019-08-03,108
2019-08-04,38
2019-08-05,61
2019-08-06,62
2019-08-07,69
2019-08-08,84
2019-08-09,75
2019-08-10,71
2019-08-11,84
2019-08-12,120
2019-08-13,108
2019-08-14,177
2019-08-15,124
2019-08-16,91
2019-08-17,7
2019-08-18,12
2019-08-19,85
2019-08-20,86
2019-08-21,105
2019-08-22,114
2019-08-23,48
2019-08-24,29
2019-08-25,29
2019-08-26,48
2019-08-27,113
2019-08-28,87
2019-08-29,101
2019-08-30,39
2019-08-31,126
2019-09-01,13
2019-09-02,55
2019-09-03,156
2019-09-04,89
2019-09-05,99
2019-09-06,79
2019-09-07,31
2019-09-08,68
2019-09-09,63
2019-09-10,84
2019-09-11,128
2019-09-12,86
2019-09-13,137
2019-09-14,73
2019-09-15,24
2019-09-16,118
2019-09-17,117
2019-09-18,105
2019-09-19,111
2019-09-20,106
2019-09-21,26
2019-09-22,35
2019-09-23,127
2019-09-24,147
2019-09-25,58
2019-09-26,53
2019-09-27,100
2019-09-28,15
2019-09-29,69
2019-09-30,138
2019-10-01,117
2019-10-02,81
2019-10-03,177
2019-10-04,97
2019-10-05,13
2019-10-06,42
2019-10-07,109
2019-10-08,119
2019-10-09,139
2019-10-10,128
2019-10-11,134
2019-10-12,41
2019-10-13,13
2019-10-14,107
2019-10-15,80
2019-10-16,147
2019-10-17,113
2019-10-18,135
2019-10-19,55
2019-10-20,32
2019-10-21,71
2019-10-22,106
2019-10-23,130
2019-10-24,85
2019-10-25,46
2019-10-26,62
2019-10-27,92
2019-10-28,102
2019-10-29,108
2019-10-30,142
2019-10-31,71
2019-11-01,92
2019-11-02,85
2019-11-03,38
2019-11-04,76
2019-11-05,143
2019-11-06,111
2019-11-07,98
2019-11-08,74
2019-11-09,93
2019-11-10,65
2019-11-11,85
2019-11-12,102
2019-11-13,96
2019-11-14,115
2019-11-15,97
2019-11-16,53
2019-11-17,22
2019-11-18,92
2019-11-19,97
2019-11-20,223
2019-11-21,211
2019-11-22,151
2019-11-23,58
2019-11-24,47
2019-11-25,108
2019-11-26,83
2019-11-27,97
2019-11-28,82
2019-11-29,78
2019-11-30,87
2019-12-01,78
2019-12-02,95
2019-12-03,107
2019-12-04,113
2019-12-05,168
2019-12-06,112
2019-12-07,89
2019-12-08,50
2019-12-09,95
2019-12-10,86
2019-12-11,101
2019-12-12,122
2019-12-13,58
2019-12-14,26
2019-12-15,59
2019-12-16,107
2019-12-17,103
2019-12-18,141
2019-12-19,138
2019-12-20,113
2019-12-21,112
2019-12-22,70
2019-12-23,141
2019-12-24,147
2019-12-25,42
2019-12-26,74
2019-12-27,118
2019-12-28,55
2019-12-29,56
2019-12-30,165
2019-12-31,97
2020-01-01,37
2020-01-02,34
2020-01-03,132
2020-01-04,43
2020-01-05,47
2020-01-06,92
2020-01-07,121
2020-01-08,142
2020-01-09,108
2020-01-10,123
2020-01-11,68
2020-01-12,68
2020-01-13,96
2020-01-14,220
2020-01-15,197
2020-01-16,145
2020-01-17,66
2020-01-18,74
2020-01-19,24
2020-01-20,84
2020-01-21,143
2020-01-22,125
2020-01-23,185
2020-01-24,70
2020-01-25,45
2020-01-26,27
2020-01-27,65
2020-01-28,100
2020-01-29,147
2020-01-30,81
2020-01-31,89
2020-02-01,42
2020-02-02,13
2020-02-03,83
2020-02-04,75
2020-02-05,99
2020-02-06,95
2020-02-07,110
2020-02-08,80
2020-02-09,76
2020-02-10,131
2020-02-11,145
2020-02-12,94
2020-02-13,51
2020-02-14,132
2020-02-15,102
2020-02-16,53
2020-02-17,194
2020-02-18,140
2020-02-19,201
2020-02-20,129
2020-02-21,126
2020-02-22,39
2020-02-23,62
2020-02-24,104
2020-02-25,114
2020-02-26,69
2020-02-27,121
2020-02-28,129
2020-02-29,47
2020-03-01,15
2020-03-02,145
2020-03-03,136
2020-03-04,98
2020-03-05,154
2020-03-06,84
